datetime,power_kW
2023-01-01 00:00:00+00:00,79.35714601877105
2023-01-01 01:00:00+00:00,88.69489502877225
2023-01-01 02:00:00+00:00,86.95751149850841
2023-01-01 03:00:00+00:00,128.1539664195326
2023-01-01 04:00:00+00:00,84.11999473593167
2023-01-01 05:00:00+00:00,68.72589809609207
2023-01-01 06:00:00+00:00,156.59797119917786
2023-01-01 07:00:00+00:00,128.7503903906018
2023-01-01 08:00:00+00:00,237.6259681884987
2023-01-01 09:00:00+00:00,323.1355797285795
2023-01-01 10:00:00+00:00,281.7487970626813
2023-01-01 11:00:00+00:00,282.99313756716475
2023-01-01 12:00:00+00:00,258.9866813794559
2023-01-01 13:00:00+00:00,245.205940100222
2023-01-01 14:00:00+00:00,311.2321989138128
2023-01-01 15:00:00+00:00,229.60506896212385
2023-01-01 16:00:00+00:00,218.81024198393666
2023-01-01 17:00:00+00:00,239.09600244310434
2023-01-01 18:00:00+00:00,138.50945986779706
2023-01-01 19:00:00+00:00,135.83956952611686
2023-01-01 20:00:00+00:00,124.09215923190722
2023-01-01 21:00:00+00:00,86.35173653220174
2023-01-01 22:00:00+00:00,140.91740601106687
2023-01-01 23:00:00+00:00,115.11378210478442
2023-01-02 00:00:00+00:00,97.34218520645456
2023-01-02 01:00:00+00:00,114.52745493219311
2023-01-02 02:00:00+00:00,103.81564038174703
2023-01-02 03:00:00+00:00,76.73633956971958
2023-01-02 04:00:00+00:00,59.483422921974196
2023-01-02 05:00:00+00:00,104.76575327664087
2023-01-02 06:00:00+00:00,222.62064387153484
2023-01-02 07:00:00+00:00,199.00838422094702
2023-01-02 08:00:00+00:00,491.66588816791455
2023-01-02 09:00:00+00:00,475.23470306735595
2023-01-02 10:00:00+00:00,467.4272234268939
2023-01-02 11:00:00+00:00,458.2278586651686
2023-01-02 12:00:00+00:00,430.3217367853906
2023-01-02 13:00:00+00:00,419.8580755957257
2023-01-02 14:00:00+00:00,466.1452485719377
2023-01-02 15:00:00+00:00,455.25028494167725
2023-01-02 16:00:00+00:00,430.432597107257
2023-01-02 17:00:00+00:00,430.81414590459354
2023-01-02 18:00:00+00:00,193.78120813963602
2023-01-02 19:00:00+00:00,194.4941632293003
2023-01-02 20:00:00+00:00,181.1351569061827
2023-01-02 21:00:00+00:00,221.91278976767217
2023-01-02 22:00:00+00:00,178.3916833254077
2023-01-02 23:00:00+00:00,174.79451355383026
2023-01-03 00:00:00+00:00,84.77329385374581
2023-01-03 01:00:00+00:00,85.21114293544547
2023-01-03 02:00:00+00:00,69.57840989294692
2023-01-03 03:00:00+00:00,102.7200870647794
2023-01-03 04:00:00+00:00,85.3865696069248
2023-01-03 05:00:00+00:00,92.8369079401274
2023-01-03 06:00:00+00:00,240.3755969083847
2023-01-03 07:00:00+00:00,273.97360057680953
2023-01-03 08:00:00+00:00,447.0453609000734
2023-01-03 09:00:00+00:00,439.91886418262743
2023-01-03 10:00:00+00:00,446.15695628305207
2023-01-03 11:00:00+00:00,398.48686170359645
2023-01-03 12:00:00+00:00,488.98988683581985
2023-01-03 13:00:00+00:00,420.20962027462883
2023-01-03 14:00:00+00:00,491.4902861574655
2023-01-03 15:00:00+00:00,461.3636621602648
2023-01-03 16:00:00+00:00,488.10875557304166
2023-01-03 17:00:00+00:00,465.5178209913203
2023-01-03 18:00:00+00:00,223.9576356165145
2023-01-03 19:00:00+00:00,203.45214509124204
2023-01-03 20:00:00+00:00,177.746373337476
2023-01-03 21:00:00+00:00,192.14503378339558
2023-01-03 22:00:00+00:00,228.15719607585316
2023-01-03 23:00:00+00:00,234.53890107849006
2023-01-04 00:00:00+00:00,124.72540505301563
2023-01-04 01:00:00+00:00,92.80747507925442
2023-01-04 02:00:00+00:00,135.67020826294223
2023-01-04 03:00:00+00:00,99.23841784705361
2023-01-04 04:00:00+00:00,103.17090902198277
2023-01-04 05:00:00+00:00,96.33142860734316
2023-01-04 06:00:00+00:00,262.77878776241306
