datetime,power_kW,pv_kW,autoconsommation_kW,injection_kW,soutirage_kW,soc,import_after_battery,export_after_battery,hour,tarif,cout_import,revenu_export,cout_net
2023-01-01 00:00:00+00:00,79.35714601877105,0.0,0.0,0.0,79.35714601877105,0.0,79.35714601877105,0.0,0,0.12,9.522857522252526,0.0,9.522857522252526
2023-01-01 01:00:00+00:00,88.69489502877225,0.0,0.0,0.0,88.69489502877225,0.0,88.69489502877225,0.0,1,0.12,10.64338740345267,0.0,10.64338740345267
2023-01-01 02:00:00+00:00,86.95751149850841,0.0,0.0,0.0,86.95751149850841,0.0,86.95751149850841,0.0,2,0.12,10.434901379821008,0.0,10.434901379821008
2023-01-01 03:00:00+00:00,128.1539664195326,0.0,0.0,0.0,128.1539664195326,0.0,128.1539664195326,0.0,3,0.12,15.37847597034391,0.0,15.37847597034391
2023-01-01 04:00:00+00:00,84.11999473593167,0.0,0.0,0.0,84.11999473593167,0.0,84.11999473593167,0.0,4,0.12,10.0943993683118,0.0,10.0943993683118
2023-01-01 05:00:00+00:00,68.72589809609207,0.0,0.0,0.0,68.72589809609207,0.0,68.72589809609207,0.0,5,0.12,8.247107771531049,0.0,8.247107771531049
2023-01-01 06:00:00+00:00,156.59797119917786,0.0,0.0,0.0,156.59797119917786,0.0,156.59797119917786,0.0,6,0.18,28.187634815852014,0.0,28.187634815852014
2023-01-01 07:00:00+00:00,128.7503903906018,0.0,0.0,0.0,128.7503903906018,0.0,128.7503903906018,0.0,7,0.18,23.175070270308325,0.0,23.175070270308325
2023-01-01 08:00:00+00:00,237.6259681884987,13.719077327188756,13.719077327188756,0.0,223.90689086131,0.0,223.90689086130996,0.0,8,0.18,40.30324035503579,0.0,40.30324035503579
2023-01-01 09:00:00+00:00,323.1355797285795,63.41004174484372,63.41004174484372,0.0,259.72553798373576,0.0,259.72553798373576,0.0,9,0.18,46.750596837072436,0.0,46.750596837072436
2023-01-01 10:00:00+00:00,281.7487970626813,105.96287230307632,105.96287230307632,0.0,175.785924759605,0.0,175.785924759605,0.0,10,0.18,31.6414664567289,0.0,31.6414664567289
2023-01-01 11:00:00+00:00,282.99313756716475,131.18806521628585,131.18806521628585,0.0,151.8050723508789,0.0,151.8050723508789,0.0,11,0.18,27.324913023158203,0.0,27.324913023158203
2023-01-01 12:00:00+00:00,258.9866813794559,136.1071495743074,136.1071495743074,0.0,122.87953180514847,0.0,122.87953180514847,0.0,12,0.18,22.118315724926724,0.0,22.118315724926724
2023-01-01 13:00:00+00:00,245.205940100222,120.22872013408684,120.22872013408684,0.0,124.97721996613517,0.0,124.97721996613517,0.0,13,0.18,22.49589959390433,0.0,22.49589959390433
2023-01-01 14:00:00+00:00,311.2321989138128,85.22674269640943,85.22674269640943,0.0,226.00545621740332,0.0,226.00545621740335,0.0,14,0.18,40.6809821191326,0.0,40.6809821191326
2023-01-01 15:00:00+00:00,229.60506896212385,36.46656011460657,36.46656011460657,0.0,193.13850884751727,0.0,193.13850884751727,0.0,15,0.18,34.764931592553104,0.0,34.764931592553104
2023-01-01 16:00:00+00:00,218.81024198393663,0.2305727986622469,0.2305727986622469,0.0,218.5796691852744,0.0,218.5796691852744,0.0,16,0.18,39.344340453349396,0.0,39.344340453349396
2023-01-01 17:00:00+00:00,239.0960024431044,0.0,0.0,0.0,239.0960024431044,0.0,239.0960024431044,0.0,17,0.18,43.03728043975879,0.0,43.03728043975879
2023-01-01 18:00:00+00:00,138.50945986779706,0.0,0.0,0.0,138.50945986779706,0.0,138.50945986779706,0.0,18,0.18,24.93170277620347,0.0,24.93170277620347
2023-01-01 19:00:00+00:00,135.83956952611686,0.0,0.0,0.0,135.83956952611686,0.0,135.83956952611686,0.0,19,0.18,24.451122514701034,0.0,24.451122514701034
2023-01-01 20:00:00+00:00,124.09215923190722,0.0,0.0,0.0,124.09215923190722,0.0,124.09215923190722,0.0,20,0.18,22.3365886617433,0.0,22.3365886617433
2023-01-01 21:00:00+00:00,86.35173653220174,0.0,0.0,0.0,86.35173653220174,0.0,86.35173653220174,0.0,21,0.18,15.543312575796312,0.0,15.543312575796312
2023-01-01 22:00:00+00:00,140.91740601106687,0.0,0.0,0.0,140.91740601106687,0.0,140.91740601106687,0.0,22,0.12,16.910088721328023,0.0,16.910088721328023
2023-01-01 23:00:00+00:00,115.11378210478442,0.0,0.0,0.0,115.11378210478442,0.0,115.11378210478442,0.0,23,0.12,13.813653852574129,0.0,13.813653852574129
2023-01-02 00:00:00+00:00,97.34218520645456,0.0,0.0,0.0,97.34218520645456,0.0,97.34218520645456,0.0,0,0.12,11.681062224774546,0.0,11.681062224774546
2023-01-02 01:00:00+00:00,114.52745493219312,0.0,0.0,0.0,114.52745493219312,0.0,114.52745493219312,0.0,1,0.12,13.743294591863174,0.0,13.743294591863174
2023-01-02 02:00:00+00:00,103.81564038174704,0.0,0.0,0.0,103.81564038174704,0.0,103.81564038174704,0.0,2,0.12,12.457876845809645,0.0,12.457876845809645
2023-01-02 03:00:00+00:00,76.73633956971958,0.0,0.0,0.0,76.73633956971958,0.0,76.73633956971958,0.0,3,0.12,9.20836074836635,0.0,9.20836074836635
2023-01-02 04:00:00+00:00,59.4834229219742,0.0,0.0,0.0,59.4834229219742,0.0,59.4834229219742,0.0,4,0.12,7.138010750636904,0.0,7.138010750636904
