datetime,power_kW,pv_kW,autoconsommation_kW,injection_kW,soutirage_kW
2023-01-01 00:00:00+00:00,15.893834342700297,0.0,0.0,0.0,15.893834342700297
2023-01-01 01:00:00+00:00,40.39232708217479,0.0,0.0,0.0,40.39232708217479
2023-01-01 02:00:00+00:00,60.3233341325975,0.0,0.0,0.0,60.3233341325975
2023-01-01 03:00:00+00:00,34.624627539273945,0.0,0.0,0.0,34.624627539273945
2023-01-01 04:00:00+00:00,80.77224287476724,0.0,0.0,0.0,80.77224287476724
2023-01-01 05:00:00+00:00,32.556662602355615,0.0,0.0,0.0,32.556662602355615
2023-01-01 06:00:00+00:00,171.93694301396235,0.0,0.0,0.0,171.93694301396235
2023-01-01 07:00:00+00:00,190.6847971870837,0.0,0.0,0.0,190.6847971870837
2023-01-01 08:00:00+00:00,271.6574924426408,5.487630930875502,5.487630930875502,0.0,266.16986151176525
2023-01-01 09:00:00+00:00,230.76271471350876,25.364016697937487,25.364016697937487,0.0,205.39869801557126
2023-01-01 10:00:00+00:00,246.5280783792169,42.38514892123053,42.38514892123053,0.0,204.14292945798638
2023-01-01 11:00:00+00:00,246.48951020528705,52.47522608651434,52.47522608651434,0.0,194.0142841187727
2023-01-01 12:00:00+00:00,225.1617079762084,54.44285982972296,54.44285982972296,0.0,170.7188481464854
2023-01-01 13:00:00+00:00,329.02977484689586,48.091488053634734,48.091488053634734,0.0,280.9382867932611
2023-01-01 14:00:00+00:00,265.81905334166174,34.09069707856377,34.09069707856377,0.0,231.72835626309796
2023-01-01 15:00:00+00:00,284.6673734047594,14.58662404584263,14.58662404584263,0.0,270.08074935891676
2023-01-01 16:00:00+00:00,285.72671321042696,0.0922291194648987,0.0922291194648987,0.0,285.6344840909621
2023-01-01 17:00:00+00:00,290.43897148170487,0.0,0.0,0.0,290.43897148170487
2023-01-01 18:00:00+00:00,117.07641705485632,0.0,0.0,0.0,117.07641705485632
2023-01-01 19:00:00+00:00,128.0925413231317,0.0,0.0,0.0,128.0925413231317
2023-01-01 20:00:00+00:00,104.49738090922546,0.0,0.0,0.0,104.49738090922546
2023-01-01 21:00:00+00:00,151.55282727507446,0.0,0.0,0.0,151.55282727507446
2023-01-01 22:00:00+00:00,91.05609688621708,0.0,0.0,0.0,91.05609688621708
2023-01-01 23:00:00+00:00,116.13654678024838,0.0,0.0,0.0,116.13654678024838
2023-01-02 00:00:00+00:00,124.09156329101953,0.0,0.0,0.0,124.09156329101953
2023-01-02 01:00:00+00:00,100.8076987647058,0.0,0.0,0.0,100.8076987647058
2023-01-02 02:00:00+00:00,97.67774111974914,0.0,0.0,0.0,97.67774111974914
2023-01-02 03:00:00+00:00,85.30022385862152,0.0,0.0,0.0,85.30022385862152
2023-01-02 04:00:00+00:00,86.65276016510003,0.0,0.0,0.0,86.65276016510003
2023-01-02 05:00:00+00:00,96.39155792339984,0.0,0.0,0.0,96.39155792339984
2023-01-02 06:00:00+00:00,278.17074687755644,0.0,0.0,0.0,278.17074687755644
2023-01-02 07:00:00+00:00,245.73978840474615,0.0,0.0,0.0,245.73978840474615
2023-01-02 08:00:00+00:00,464.31210403723446,5.4242285493996025,5.4242285493996025,0.0,458.88787548783483
2023-01-02 09:00:00+00:00,438.9307916055788,25.28256301434496,25.28256301434496,0.0,413.6482285912339
2023-01-02 10:00:00+00:00,482.9225521248193,42.34719307630952,42.34719307630952,0.0,440.57535904850977
2023-01-02 11:00:00+00:00,426.4358659676829,52.49899672678454,52.49899672678454,0.0,373.9368692408984
2023-01-02 12:00:00+00:00,483.573823040692,54.53307278159936,54.53307278159936,0.0,429.04075025909265
