datetime,power_kW,pv_kW,autoconsommation_kW,injection_kW,soutirage_kW,soc,import_after_battery,export_after_battery,hour,tarif,cout_import,revenu_export,cout_net
2023-01-01 00:00:00+00:00,53.88273877810661,0.0,0.0,0.0,53.88273877810661,0.0,53.88273877810661,0.0,0,0.12,6.465928653372792,0.0,6.465928653372792
2023-01-01 01:00:00+00:00,38.71945673732002,0.0,0.0,0.0,38.71945673732002,0.0,38.71945673732002,0.0,1,0.12,4.646334808478403,0.0,4.646334808478403
2023-01-01 02:00:00+00:00,53.56861048006584,0.0,0.0,0.0,53.56861048006584,0.0,53.56861048006584,0.0,2,0.12,6.428233257607901,0.0,6.428233257607901
2023-01-01 03:00:00+00:00,68.4117283934118,0.0,0.0,0.0,68.4117283934118,0.0,68.4117283934118,0.0,3,0.12,8.209407407209417,0.0,8.209407407209417
2023-01-01 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.12,0.0,0.0,0.0
2023-01-01 05:00:00+00:00,82.8712120840884,0.0,0.0,0.0,82.8712120840884,0.0,82.8712120840884,0.0,5,0.12,9.944545450090608,0.0,9.944545450090608
2023-01-01 06:00:00+00:00,107.27383013786074,0.0,0.0,0.0,107.27383013786074,0.0,107.27383013786074,0.0,6,0.18,19.30928942481493,0.0,19.30928942481493
2023-01-01 07:00:00+00:00,149.105501531536,0.0,0.0,0.0,149.105501531536,0.0,149.105501531536,0.0,7,0.18,26.838990275676476,0.0,26.838990275676476
2023-01-01 08:00:00+00:00,291.9431473636437,13.719077327188756,13.719077327188756,0.0,278.2240700364549,0.0,278.2240700364549,0.0,8,0.18,50.08033260656188,0.0,50.08033260656188
2023-01-01 09:00:00+00:00,265.5790641286865,63.41004174484372,63.41004174484372,0.0,202.1690223838428,0.0,202.1690223838428,0.0,9,0.18,36.3904240290917,0.0,36.3904240290917
2023-01-01 10:00:00+00:00,295.65198564089224,105.96287230307632,105.96287230307632,0.0,189.6891133378159,0.0,189.6891133378159,0.0,10,0.18,34.144040400806865,0.0,34.144040400806865
